address,microstx
139dZ5Gp5HoAZ9SAF9E6BcZgE3cKxMsePP,1041666667
139mzCC5kdGwVnCssCgvZt78Mxf14S1DjC,13801389
139nbAAVyrVjoJTd3mHvZeArsDBveCHEMk,27777778
139tX49ptf5iRcChbJx5h4KPv7WaAyT6Na,0
139yw2tKSFBALcXHYfTaWDJU2WkWUs5fjk,1041663195
139zFfTXo4AFtqQ2iWj3kqE3GCN8q1DvWb,36256945
13A9FmsJGHtY1AphRx5diF3d4pnXYQZZpV,0
13AAFZiXwVRu43H2v6ydu9iNtGb9SkM6o7,15981945
13AS8MZyKdvMCooRUuMEjGakzpMy25niAV,72392362
13B9Xp6F639i2djRC2X62RfNh5thexwbf3,41765278
13BCsWgHzKt95xhGPNpooyY8aTKCrLt6mq,0
13BFi26FPoHVgc25FocRPE57TfnMbpfNHB,13090458337
13BMpmBLeQjqFwbXe6GMWL8VBGcwbMeCZg,209273612
13Bkcu19Sg1E8iP6yXTM2YBcQW8etXnvCm,1028701389
13BmW9yxg6gBbvMnPNoYuBekPLQQ7dMZL4,138888889
13BpsZQeyzkaxYQThV9SizxodAe3L1iDmM,13888889
13C4KCbbhzG3Wa31VpLqLoHRfkjUK7up8g,350079862
13CNt4Ahj3yp7sPhADiKRexB8xdvJ2hJaN,69737500
13CUrgZujjvy7o1mWH5RQLysdko3F3C4dP,1053644445
13CZKrpbLgdJVZs2fh5Ex3Zg521FSwtnT6,27565278
13CaLe4FBkQWbpsk7xJZe4NAyoDwkvb3jy,22569625000
13CbAX4Lmpoks2vB9UmS2QHVXkY1dkzDkd,1031118056
13CggSoebAJGJASpnGYXxPb758vtEoYYNW,37384723
13CjWXco9j4taN6wmvCxEuJzyyq3puJ7zb,97237500
13CrmfBRqcAACcRKSnbrijc5bvJHqm6myS,0
13E97fugtCvxzEaSTATWTMLcpxuvKjcTkc,871528
13EDaRZCjwbZCeSX928vPqDzFBU2GMb2cW,13888889
13EDpnatNx7LqRjkvs9PZyHEaPGY3MKCu4,208333334
13ENfM8QfUoE1kBMVUsrq5ETmBGyd4aW4Z,14077778
13ERv6ucRH1LDgcGm3gzWqhs4XugdzvnWT,1041597223
13EX7PEQEE9yD1uXE8ToRi2pdzy2JQXb7W,137250000
13EZcth5tJy1h7cmsCoZ1op7LwxoqP8LDt,41666667
13EgfTzsxcNnRRauVTbe9zqYU84zKTh4To,5856458337
13EwY5CfHpaLhANxzxU8VoEHAfzjPrDakR,70652778
13FFYuDEnRzXYrE17WQ3JF8G3xC3VjW9ZX,34848612
13FV9BKWvBX8YERPTn75MPL48S21UAiWyF,347222223
